연번,정류소명,정류소번호,총계,승차 일반,승차 청소년,승차 어린이,환승 일반,환승 청소년,환승 어린이
291,KBC방송국,3145,175419,141536,13048,1714,17507,1286,328
292,유창아파트,4401,175398,133377,16411,937,22899,1655,119
293,응암공원,5406,175281,114537,30588,2612,20505,6684,355
294,흑석사거리(동),5322,175127,131821,23238,3034,14552,2059,423
295,화정중흥파크,2283,174892,136248,9804,858,26117,1660,205
296,산수오거리,1027,174675,132460,14443,1091,24697,1758,226
297,까치고개,3190,174209,115581,20542,1860,31666,4235,325
298,4.19기념관,1005,172190,125715,15778,1153,26770,2433,341
299,풍향시장,4569,171667,119486,11506,1775,36093,2460,347
300,염주맨션,2290,171016,94126,45722,1409,24842,4660,257
301,남구청,3280,168370,123542,16607,1448,22640,3812,321
302,신창초교,5194,167468,114388,28742,1592,17275,4901,570
303,첨단라인아파트,5449,166604,112198,25434,1568,22729,4196,479
304,조봉초교,3136,165577,103930,45203,8352,5834,1660,598
305,운남삼성아파트,5306,165538,124904,19978,1599,15919,2672,466
306,연진회미술원,1100,165114,118985,26075,15158,3871,681,344
307,샛터코아,4247,165096,109087,31819,8655,12599,2335,601
308,광주지방기상청,4446,164994,90182,15787,572,53438,4774,241
309,동강대,4564,164604,70137,51150,713,36658,5797,149
310,유덕초교,2198,164248,91865,16454,981,48349,6228,371
311,신가우미아파트,5183,163446,130994,19603,1076,9893,1497,383
312,광주지방기상청,4447,163242,99088,27667,302,30574,5283,328
313,동부소방서,1118,163178,135638,5074,2095,19292,919,160
314,주공아파트,4414,161011,124265,12415,1803,20507,1776,245
315,두암라인동산아파트,4172,160661,128432,19567,5784,5828,806,244
316,문화예술회관후문,4443,160373,92895,17849,869,43814,4680,266
317,버들마을,2191,159182,89957,13118,1231,50767,3787,322
318,송정대덕아파트,5157,158203,105675,33159,14031,4421,636,281
319,월산마을,3179,157828,124797,16592,424,13680,2088,247
320,라인효친,3118,157819,91608,48082,1382,13708,2703,336
321,첨단라인아파트,5417,156882,88171,34870,5084,23227,5067,463
322,CBS방송국,2014,154528,109305,20557,2310,19513,2429,414
323,한국국토정보공사,2237,154243,111833,13206,1072,26006,1860,266
324,마재우체국,2246,154193,101132,35533,5368,8823,2744,593
325,광산중,5271,153668,113839,20468,1626,14530,2660,545
326,상무역,2224,153424,96654,16761,2020,33554,4153,282
327,효천천년나무3단지,3289,152933,88023,34680,29379,592,97,162
328,학2마을아파트,1157,152411,62051,7079,2107,76250,4102,822
329,문화초교,4178,151921,114626,20343,4975,10444,1257,276
330,용주초교,4399,151500,131693,10579,954,7073,1085,116
331,학동증심사입구역,1152,150738,77854,8738,1941,55559,5308,1338
332,한국국토정보공사,2238,150169,126801,13548,986,7531,1080,223
333,신동사거리,5164,147909,81012,35004,24478,5726,1591,98
334,운암우미아파트,4456,147906,109887,15449,576,19650,2122,222
335,한국수자원공사,2239,147456,102635,16657,2220,22103,3516,325
336,거진,4003,147194,118685,18848,2063,5906,1379,313
337,화정중,2300,146937,100975,30112,1169,11236,3044,401
338,한국은행,2241,146465,92890,17740,1177,30981,3445,232
339,문흥1동주민센터,4230,146314,76405,46287,19962,2338,1068,254
340,풍암모아아파트,2258,145235,111827,21897,1545,8322,1201,443
341,양산호반2차,4068,145213,105849,27849,9454,1187,562,312
342,월산마을,2291,144878,109960,14198,1009,16640,2777,294
343,국립아시아문화전당(구.도청),1123,144544,104349,16256,3786,18141,1838,174
344,하남도시공사아파트,5717,144421,92338,29953,18991,2205,607,327
345,두암주공아파트,4187,144360,127121,9563,2210,4955,370,141
346,신창초교,5195,144349,90870,28583,1273,18107,5176,340
347,삼각그린타운,4252,144226,106773,22226,2841,9955,2068,363
348,만호마을,2320,143783,76491,38231,24627,3039,1295,100
349,동부소방서,1117,143609,118687,6284,4349,13637,490,162
350,공항역,5202,142921,59746,10347,1263,60770,10496,299
351,체육고/폴리텍5대학,4461,142136,86940,20801,2236,28886,2916,357
352,효동초교입구,4551,141577,100967,12552,1995,23981,1850,232
353,4.19기념관,1006,141325,106989,11842,1069,19194,2054,177
354,남구청,3206,141114,84336,13784,901,35652,5754,687
355,향교,3143,139190,120850,7719,422,9224,827,148
356,향교,3144,138949,104826,14324,1023,16485,1935,356
357,용주초교,4400,138669,95928,31624,1569,8093,1239,216
358,서남하이츠(국제양궁장),3226,138371,112650,18043,989,5302,1239,148
359,향토음식박물관,4262,138050,83465,30601,1284,18785,3651,264
360,광주은행북부지점,4510,137483,95723,6269,1065,32447,1873,106
361,주월중입구,3218,136970,67743,17977,3001,42043,5361,845
362,비엔날레전시관입구,4382,135978,96786,22950,15226,650,249,117
363,광주역육교,4541,135843,95706,6009,596,31759,1553,220
364,과기원,5392,134619,66909,34248,32469,781,186,26
365,마재부영아파트,2025,134024,86351,24468,8081,11950,2950,224
366,롯데칠성,4031,133167,85689,25951,1053,16935,3168,371
367,염주주공,2308,132929,108531,16109,2651,4594,778,266
368,상무중,2080,132806,83932,32640,1927,9799,4197,311
369,운암초교,4433,132428,88407,14979,670,24377,3531,464
370,첨단사거리,5454,132270,78640,24837,8993,16681,2686,433
371,현대자동차,2008,132179,101952,8987,804,16881,3288,267
372,교육대,4560,132017,95619,15649,4797,14520,1081,351
373,율곡초교,1033,131689,92228,11206,2987,22680,2260,328
374,광주학생독립운동기념관,2077,131452,98950,19126,1779,9516,1656,425
375,조선대공과대학,1148,131140,99176,8578,383,21102,1847,54
376,장덕마을,5732,131015,87074,32034,5627,4238,1701,341
377,신흥맨션,4182,130772,102386,17631,8036,2151,395,173
378,상무병원,2067,130538,106263,15214,1944,5342,1255,520
379,동산마을입구,1154,129811,88701,18378,18901,3155,166,510
380,용두주공,4085,129303,94480,23403,2206,6720,1638,856
381,송암공단입구,3156,129087,61454,33853,16304,9952,7166,358
382,광산중,5272,128501,100041,14697,1510,9878,1877,498
383,소태역,1096,128165,95156,20074,7617,4420,732,166
384,평화맨션,4556,127764,103573,8741,1035,13343,944,128
385,양동시장역(남),2165,127724,92165,4035,1290,29095,1044,95
386,송화마을4단지,3259,127602,93853,22339,8419,1870,748,373
387,전남대사거리(서),4351,126041,90274,9945,2327,21787,1480,228
388,대인시장(서),1115,125935,105954,5401,1623,12261,618,78
389,오치주공,4374,125731,94080,13189,863,14952,2329,318
390,전대치과병원,4352,125679,106054,15377,551,3078,566,53
391,응암공원,5442,125442,78889,20917,3055,15892,6358,331
392,용봉초교,4345,125242,75352,20581,825,24862,3445,177
393,상무호반3차,2069,124959,84231,23563,2349,12184,2334,298
394,양산택지사거리,4574,124713,86107,20664,923,14237,2515,267
395,광주남초교,1093,123833,92930,18187,8227,3322,671,496
396,동천마을6단지,4430,123177,94789,13330,1129,12451,1176,302
397,문화전당역,1131,122879,92255,10944,2144,15577,1606,353
398,도선사,4226,122871,44718,30755,28843,14852,3016,687
399,상록회관,2045,121937,92976,5958,481,20569,1706,247
400,광주학생독립운동기념관,2078,121674,81715,29032,1424,6694,2566,243
401,신창용수마을,5189,121628,79934,15233,1308,21735,3185,233
402,수완현진에버빌1차,5703,121415,74568,30441,4669,9176,2304,257
403,봉선삼익사거리,3129,120977,100791,13264,1776,4359,643,144
404,광산구청,5153,119768,93318,9050,1385,14297,1602,116
405,평화맨션,4557,119680,98328,7913,692,11639,927,181
406,주월주택단지(남),3102,119374,82466,9262,379,23223,3854,190
407,금호아파트,4216,118925,72478,22833,18918,4343,271,82
408,중앙여고,4451,118850,53036,47847,1016,13260,3570,121
409,흑석사거리(동),5578,118822,77876,21064,4711,12720,2129,322
410,남부대,5427,118442,66592,26798,886,17934,5923,309
411,신창동우체국,5191,118193,77385,18987,1003,17102,3404,312
412,유니버시아드힐스테이트,2297,117994,77263,29196,1324,7649,2288,274
413,광주교통방송,5393,117555,69708,24153,20284,2888,364,158
414,임동농협,4496,116797,100928,8490,1060,5874,326,119
415,풍암우미아파트,2262,116113,82627,13475,2396,15882,1321,412
416,복룡입구,4032,115353,90518,17834,1099,4577,1087,238
417,대동마을,3286,115051,73084,23746,14193,3421,386,221
418,오치주공,4373,115044,74856,11309,1636,24195,2867,181
419,한국병원,2278,114834,88711,15449,1118,8219,1195,142
420,광산경찰서,5252,114516,73080,31181,2726,5588,1826,115
421,풍암한국아파트,2266,114513,88724,16324,1202,6925,1063,275
422,광주은행양산동지점,4061,114204,84828,13384,1193,12192,2272,335
423,송림주택,3088,114056,97294,12880,388,2816,577,101
424,염주체육관,2311,111712,70128,10925,1702,26140,2461,356
425,송암동,3157,111386,86721,17210,4829,1998,430,198
426,청명아파트,4167,110929,86150,17253,680,5789,958,99
427,광주은행북부지점,4511,110416,82285,5869,172,20895,1125,70
428,첨단휴먼시아,4612,110412,71438,10132,830,24220,3576,216
429,월드컵경기장,2253,109692,80012,9861,1760,15914,1602,543
430,용봉중,4365,109682,81638,18666,2655,5193,1318,212
431,양동시장역(남),2166,109621,86214,2671,1504,18680,491,61
432,신가중,5188,109385,85239,16358,985,5111,1470,222
433,덕산아파트,4159,109211,77817,11092,429,17794,1905,174
434,성산맨션,4386,108882,76736,10276,633,18876,2166,195
435,오치한전(북),4378,107845,90853,8075,340,7747,680,150
436,첨단롯데마트,5451,107822,66797,16412,11736,11383,1139,355
437,시립장애인복지관,4157,107670,84018,8504,806,12920,1101,321
