,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
3511,하나약국,,,,,,,37.5367231,127.13985579999999,강동구
3512,친절한약국,0900,1700,,,,,37.63729,127.0243328,강북구
3513,단풍약국,,,,,,,37.5910466,127.08036659999999,중랑구
3514,세계로약국,0900,2100,,,0900,2130,37.5996433,127.0794341,중랑구
3515,메디팜상암약국,0900,1500,,,,,37.5801191,126.88319540000002,마포구
3516,방학태평양약국,0900,1600,,,,,37.6648122,127.03632379999999,도봉구
3517,메디칼정성약국,,,,,,,37.473696399999994,127.10783529999999,강남구
3518,경희제일약국,0830,1400,,,,,37.5932278,127.05220729999999,동대문구
3519,햇님약국,0900,1400,,,,,37.5572565,127.08220929999999,광진구
3520,아이팜약국,0900,1300,,,,,37.61088170000001,127.01792520000001,성북구
3521,모래내약국,0900,2000,1000,2000,,,37.569548600000005,126.9149256,서대문구
3522,햇빛약국,0800,1400,0800,1400,0800,1400,37.541241299999996,126.9489446,마포구
3523,개성약국,0900,1400,,,,,37.4943138,126.841017,구로구
3524,하이약국,0930,1300,,,,,37.541236600000005,126.9735031,용산구
3525,경희정문약국,0900,1300,,,,,37.593486999999996,127.0528517,동대문구
3526,여의도플러스약국,,,,,,,37.5292309,126.92487209999999,영등포구
3527,맨하탄길약국,,,,,,,37.5207606,126.92689299999999,영등포구
3528,여의도미소약국,0900,1300,,,,,37.5216833,126.9265914,영등포구
3529,서울대학약국,0900,1300,,,,,37.5228821,126.91030740000001,영등포구
3530,자연주의약국,0900,1600,,,,,37.5419444,126.8426043,강서구
3531,마곡소망약국,0900,1700,,,,,37.5608223,126.83554299999999,강서구
3532,미소드림약국,0800,1500,,,,,37.588696,127.0073207,성북구
3533,더조은약국,0900,1330,,,,,37.47121370000001,127.0883937,강남구
3534,코코약국,0900,1400,,,,,37.576377,127.02946809999999,성동구
3535,영등포진약국,0900,1400,,,,,37.5219953,126.90473300000001,영등포구
3536,서울메디칼약국,0900,1400,,,,,37.6140365,127.0976311,중랑구
3537,한성약국,0900,1600,0900,1400,,,37.57539379999999,127.0548231,동대문구
3538,신원약국,,,,,,,37.4854804,127.0163386,서초구
3539,맑은샘약국,0900,1400,0900,1400,0900,1400,37.5528666,127.02237530000001,성동구
3540,세빛약국,0900,1500,,,,,37.5786766,126.9106801,서대문구
3541,나루역사거리현대약국,0900,1300,,,,,37.5262843,127.11760990000002,송파구
3542,정민약국,0900,1500,,,,,37.5191162,126.8850668,영등포구
3543,태능약국,0900,1700,,,,,37.619064200000004,127.078156,노원구
3544,망원동약국,,,,,1300,2000,37.5573708,126.90453909999998,마포구
3545,메디피아약국,,,,,1000,1800,37.4853293,127.03406470000002,강남구
3546,더하늘약국,0900,1800,,,,,37.4991579,127.026505,서초구
3547,행복가득약국,,,,,,,37.55626470000001,126.9345138,서대문구
3548,미소약국,0900,1400,,,,,37.558685100000005,127.03723049999999,성동구
3549,가락온누리약국,0900,1700,,,,,37.5208476,127.10444840000002,송파구
3550,늘조은온누리약국,0900,1800,,,,,37.49280220000001,127.13480159999999,송파구
3551,도담약국,0900,1400,,,1000,1400,37.6072575,127.02823729999999,성북구
3552,참플러스약국,0900,1400,0900,1200,,,37.5118576,127.112796,송파구
3553,친절한약국,0830,1430,,,,,37.4836614,126.9725365,동작구
3554,튼튼약국,0900,1600,,,,,37.5062864,127.1208822,송파구
3555,해그린약국,0900,1500,,,,,37.5821474,126.950667,서대문구
3556,노아약국,0900,1300,,,,,37.526575799999996,126.9181878,영등포구
3557,세종약국,0900,1330,,,,,37.5717618,126.9732801,종로구
3558,팜빌편안약국,0900,1700,,,,,37.539615399999995,126.8690254,양천구
