,약국명,토요일 시작,토요일 종료,위도,경도,구별
128,기풍약국,900.0,1600.0,37.5631497,127.0190592,중구
129,우정약국,800.0,2000.0,37.5705358,126.99986979999998,종로구
130,종로백제약국,1000.0,1830.0,37.5712211,127.0039744,종로구
131,종로한사랑약국,900.0,1500.0,37.57270020000001,127.0160721,종로구
132,부광약국,900.0,1930.0,37.5712049,127.0025981,종로구
133,삼원약국,930.0,1800.0,37.5704416,126.9761633,종로구
134,글로리아약국,900.0,1600.0,37.60533510000001,126.9668582,종로구
135,옥광약국,850.0,1350.0,37.5768331,126.9974228,종로구
136,하트약국,900.0,2200.0,37.58266589999999,127.0021429,종로구
137,열린온누리약국,900.0,2000.0,37.5758067,127.0212457,종로구
138,종로백세약국,900.0,1900.0,37.5712402,127.0022919,종로구
139,서울종로약국,830.0,1530.0,37.5817751,127.0016498,종로구
140,신동화약국,900.0,1700.0,37.5713197,127.007659,종로구
141,신두산약국,900.0,1800.0,37.5735393,127.0154532,종로구
142,동남약국,900.0,2200.0,37.5700878,126.9912669,종로구
143,동서약국,900.0,1930.0,37.5707152,127.0023239,종로구
144,성진약국,1000.0,2100.0,37.57214000000001,126.9910162,종로구
145,새명성약국,800.0,1500.0,37.5703858,126.9740891,종로구
146,김해약국,800.0,2000.0,37.5706688,127.0006808,종로구
147,삼정바로약국,845.0,1300.0,37.56787429999999,126.9682656,종로구
148,보광약국,900.0,1400.0,37.5794428,127.0017081,종로구
149,한솔약국,800.0,1500.0,37.5763007,126.9707373,종로구
150,대서울약국,900.0,1400.0,37.57620479999999,126.9975954,종로구
151,종오약국,800.0,2000.0,37.57108729999999,126.9994469,종로구
152,보령약국,800.0,1930.0,37.5713013,127.0004652,종로구
153,지영오행당약국,830.0,2200.0,37.5855097,126.9970597,종로구
154,신세계약국,900.0,2200.0,37.5700969,126.9913845,종로구
155,중앙약국,900.0,1230.0,37.5673767,126.9656644,종로구
156,신서대문대학약국,900.0,1230.0,37.56746649999999,126.9656304,종로구
157,다나약국,900.0,2000.0,37.5701122,126.9919061,종로구
158,행복한약국,1000.0,1800.0,37.58125649999999,126.9694033,종로구
159,백수약국,800.0,2100.0,37.5716991,127.00131770000002,종로구
160,메디칼약국,830.0,1300.0,37.5671711,126.96750559999998,종로구
161,올리브약국,900.0,1400.0,37.5704347,126.9747439,종로구
162,대우사약국,900.0,2100.0,37.55849370000001,126.9742759,중구
163,미소약국,900.0,1700.0,37.5627247,127.0064883,중구
164,다산온누리약국,900.0,2200.0,37.5558422,127.0109529,중구
165,동대문허브약국,1000.0,1630.0,37.5516055,127.0083697,중구
166,독일사약국,900.0,1600.0,37.5703294,127.0192979,중구
167,메디팜늘봄약국,900.0,1800.0,37.5631033,127.0152125,중구
168,회현약국,900.0,1400.0,37.5604309,126.9948623,중구
169,열린약국,1000.0,2200.0,37.5708733,127.0213284,중구
170,온누리정도약국,900.0,1600.0,37.5359774,126.9619751,용산구
171,이층성장약국,900.0,1500.0,37.5201398,126.9718634,용산구
172,편한약국,830.0,1500.0,37.5185268,126.9806796,용산구
173,온누리백합약국,850.0,1330.0,37.5487848,126.9774713,용산구
174,소아제일약국,830.0,1330.0,37.53321700000001,127.0047222,용산구
175,서울약국,900.0,1300.0,37.54595910000001,126.9722727,용산구
176,가까운우리약국,900.0,1300.0,37.5288539,126.9640447,용산구
177,부자약국,900.0,2100.0,37.53207379999999,127.0053947,용산구
178,용산대학약국,900.0,1800.0,37.5332256,127.004567,용산구
179,수약국,800.0,1600.0,37.5396294,126.9608563,용산구
180,효창약국,900.0,1430.0,37.5407446,126.9583673,용산구
181,참온누리약국,900.0,2100.0,37.5466124,126.98153870000002,용산구
182,신진약국,900.0,1700.0,37.5305523,126.9969101,용산구
183,이촌프라자약국,900.0,2000.0,37.5180908,126.9787161,용산구
184,가장큰태평양약국,900.0,1300.0,37.5332791,127.00385690000002,용산구
185,금보약국,900.0,1500.0,37.5339773,126.9503783,용산구
186,홍주약국,830.0,1400.0,37.5208556,126.969841,용산구
187,새희망약국,900.0,1300.0,37.5651883,127.0542199,성동구
188,새인선약국,900.0,2200.0,37.5459875,127.0541717,성동구
189,어울림온누리약국,900.0,1500.0,37.5422885,127.0181535,성동구
190,한진약국,900.0,1500.0,37.5559126,127.0290958,성동구
191,실로암약국,900.0,2100.0,37.5645052,127.0535335,성동구
192,옥수벽산약국,900.0,1500.0,37.5409152,127.017273,성동구
193,하이온누리약국,900.0,1600.0,37.5578253,127.027423,성동구
194,옥수벽산약국,900.0,1500.0,37.568672,127.0320307,성동구
195,다나을약국,900.0,1700.0,37.54864050000001,127.0169238,성동구
196,보명약국,900.0,1400.0,37.5470841,127.0204569,성동구
197,상도약국,800.0,1800.0,37.5603662,127.0326803,성동구
198,제일약국,900.0,2100.0,37.54960910000001,127.0305367,성동구
199,부일약국,600.0,1800.0,37.55893,127.0368788,성동구
200,시대약국,830.0,2200.0,37.5675093,127.0447,성동구
201,새인선약국,900.0,2200.0,37.5514251,127.0678489,성동구
202,21세기메디칼약국,900.0,1700.0,37.5543052,127.0198293,성동구
203,새서독약국,800.0,1800.0,37.55846289999999,127.0333014,성동구
204,새대우약국,830.0,2230.0,37.561807,127.0534725,성동구
205,부원약국,900.0,1500.0,37.5377259,127.0523751,성동구
206,도원약국,800.0,1930.0,37.5483577,127.0210592,성동구
207,신라약국,900.0,2230.0,37.5500942,127.0670382,성동구
208,용하약국,830.0,1800.0,37.5658906,127.0516845,성동구
209,새왕약국,830.0,1900.0,37.54839279999999,127.0656494,성동구
210,제민약국,830.0,2130.0,37.5366054,127.0586204,성동구
211,은혜약국,900.0,1430.0,37.5522839,127.0191451,성동구
212,왕십리약국,830.0,2200.0,37.562166,127.0321884,성동구
213,우당약국,800.0,1800.0,37.5431159,127.0545112,성동구
214,유림약국,830.0,2000.0,37.5607155,127.02935490000002,성동구
215,신동아약국,930.0,1700.0,37.54568010000001,127.0449742,성동구
216,연세우리약국,900.0,1300.0,37.5388191,127.0473621,성동구
217,영민약국,830.0,1300.0,37.5462198,127.0533607,성동구
218,수명약국,900.0,2000.0,37.546083,127.0449815,성동구
219,예전약국,900.0,2200.0,37.5648266,127.0356936,성동구
220,상보약국,900.0,1700.0,37.5403071,127.06260790000002,성동구
221,메디팜보배약국,900.0,2000.0,37.54682329999999,127.0546783,성동구
222,동틀약국,900.0,1500.0,37.544524,127.065004,성동구
223,은하약국,900.0,1500.0,37.5481659,127.0194469,성동구
224,염광약국,800.0,1500.0,37.5440067,127.0566082,성동구
225,정민약국,1100.0,2300.0,37.5677999,127.0506845,성동구
226,대한약국,900.0,1800.0,37.5498685,127.0162524,성동구
227,보람약국,900.0,1400.0,37.54011759999999,127.0163862,성동구
228,세심약국,900.0,2200.0,37.5695013,127.0424514,성동구
229,삼일약국,900.0,2130.0,37.5483946,127.0213722,성동구
230,신세계약국,700.0,2000.0,37.5366902,127.0575116,성동구
231,메디팜대림약국,900.0,2000.0,37.5578253,127.027423,성동구
232,메디팜한솔약국,900.0,2100.0,37.5559126,127.0290958,성동구
233,대학약국,900.0,1300.0,37.5598989,127.0415624,성동구
234,대중약국,900.0,2130.0,37.5644667,127.0280634,성동구
235,새왕약국,830.0,1900.0,37.5484002,127.065896,성동구
236,대우약국,900.0,2000.0,37.54699420000001,127.019942,성동구
237,서울약국,900.0,1900.0,37.5691167,126.9758034,중구
238,우리네약국,900.0,1600.0,37.5547032,127.0146066,중구
239,타워약국,800.0,1400.0,37.56591020000001,127.0217363,중구
240,참조은약국,800.0,1330.0,37.5658906,126.9955864,중구
241,서울왕약국,830.0,1900.0,37.56080770000001,126.9781378,중구
242,양지약국,900.0,1300.0,37.5631536,126.9900202,중구
243,올리브약국,830.0,1300.0,37.5614986,126.9963924,중구
244,명동하이약국,1000.0,2300.0,37.5651142,126.9839311,중구
245,신당조은약국,900.0,1400.0,37.5655788,127.0226258,중구
246,힘찬약국,900.0,1600.0,37.5677054,127.0081654,중구
247,광희약국,900.0,2130.0,37.5639754,127.0074496,중구
248,을지수온누리약국,900.0,1200.0,37.5645675,126.989099,중구
249,메디홈약국,900.0,1600.0,37.5612884,126.9814747,중구
250,하얀약국,900.0,1300.0,37.5644667,126.9887924,중구
251,원정약국,900.0,1400.0,37.5600735,127.0146083,중구
252,샘물온누리약국,830.0,1400.0,37.5635275,127.0203865,중구
253,주원약국,900.0,1300.0,37.56540469999999,127.0203223,중구
254,신삼성대학약국,900.0,1300.0,37.56154980000001,126.9999797,중구
255,건강백세약국,900.0,1800.0,37.5589269,126.9633161,중구
256,현대약국,900.0,1300.0,37.55558679999999,127.0103564,중구
257,신정약국,900.0,1600.0,37.5491389,127.0093824,중구
258,홍신약국,930.0,1330.0,37.56705400000001,126.9795309,중구
259,신금호약국,900.0,1530.0,37.5547663,127.020345,성동구
260,정문약국,900.0,1300.0,37.5579026,127.0412869,성동구
261,우인약국,730.0,1430.0,37.562867,127.03207179999998,성동구
262,성수종로약국,900.0,1700.0,37.54715570000001,127.0547872,성동구
263,늘푸른약국,900.0,1500.0,37.5469252,127.0489711,성동구
264,한양약국,900.0,2100.0,37.5594683,127.0404632,성동구
265,민제약국,900.0,1330.0,37.5695013,127.0424514,성동구
266,백두산약국,900.0,2200.0,37.5462755,127.0440499,성동구
267,선영약국,930.0,2130.0,37.5668125,127.0307405,성동구
268,메디팜호정약국,900.0,1700.0,37.54422320000001,127.049225,성동구
269,이수프라자약국,900.0,1800.0,37.5612833,127.0345304,성동구
270,참사랑약국,900.0,1500.0,37.5658317,127.043053,성동구
271,행복이열리는건강약국,900.0,1700.0,37.5452446,127.0570452,성동구
272,평안약국,900.0,1800.0,37.5581317,127.03544479999998,성동구
273,공중약국,900.0,1500.0,37.5374152,127.0550935,성동구
274,기린약국,830.0,1600.0,37.54181970000001,127.0102397,성동구
275,정성약국,1130.0,1400.0,37.5665375,127.033025,성동구
276,성수종로약국,900.0,1700.0,37.5603504,127.04512859999998,성동구
277,이화한솔약국,800.0,1700.0,37.5699322,127.03782040000002,성동구
278,행복한약국,900.0,1430.0,37.5422258,127.0141937,성동구
279,중앙종로약국,900.0,1700.0,37.5638949,127.0528315,성동구
280,더힘찬약국,830.0,1630.0,37.5475722,127.0227172,성동구
281,효민프라자약국,800.0,1300.0,37.56325,127.0419088,성동구
282,성산약국,900.0,1400.0,37.5605018,127.0352728,성동구
283,스타빌약국,900.0,1500.0,37.5612833,127.0345304,성동구
284,명동온누리약국,900.0,1900.0,37.5551685,127.03614509999998,성동구
285,비트플렉스약국,1030.0,2130.0,37.5621482,127.03794209999998,성동구
