,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
123,한미약국,1000.0,1900.0,37.5989002,127.0342472,성북구
124,성북월드팜약국,900.0,2100.0,37.6092663,127.0524388,성북구
125,유림당약국,900.0,1900.0,37.653293,127.0407996,도봉구
126,수유동약국,1000.0,2100.0,37.63632980000001,127.0227421,강북구
127,소원약국,900.0,2100.0,37.62683300000001,127.025582,강북구
128,서울진약국,900.0,1300.0,37.646729,127.01768909999998,강북구
129,우림약국,900.0,2130.0,37.6452213,127.01582340000002,강북구
130,요나약국,900.0,2100.0,37.6193356,127.0206844,강북구
131,인수약국,900.0,2000.0,37.6400855,127.0122653,강북구
132,송도약국,900.0,1830.0,37.63846820000001,127.02571100000002,강북구
133,이원약국,800.0,2300.0,37.6251016,127.0185515,강북구
134,직영약국,900.0,2000.0,37.6305217,127.0234878,강북구
135,늘푸른약국,900.0,2000.0,37.6125471,127.033347,강북구
136,한사랑온누리약국,900.0,1600.0,37.6322927,127.013805,강북구
137,밝은온누리약국,1000.0,1300.0,37.62089810000001,127.0203739,강북구
138,생수당약국,900.0,2100.0,37.6252206,127.0322019,강북구
139,건강비타민약국,900.0,2100.0,37.62495790000001,127.0187199,강북구
140,선영약국,900.0,2030.0,37.64598220000001,127.0195505,강북구
141,선영약국,900.0,2030.0,37.6479885,127.0161631,강북구
142,늘푸른약국,900.0,2000.0,37.63094810000001,127.0175434,강북구
143,길약국,830.0,1900.0,37.63036779999999,127.023074,강북구
144,조아약국,900.0,1900.0,37.61479740000001,127.0293444,강북구
145,봄약국,900.0,1300.0,37.6224102,127.0300782,강북구
146,삼성약국,900.0,2100.0,37.6451106,127.0199495,강북구
147,백운약국,1300.0,1900.0,37.64743370000001,127.03440220000002,도봉구
148,종로세명약국,1400.0,2300.0,37.6625218,127.032467,도봉구
149,이화태평양약국,900.0,2100.0,37.6391474,127.0382089,도봉구
150,창동종로약국,800.0,1930.0,37.65269960000001,127.0469574,도봉구
151,보화당약국,830.0,2200.0,37.6529434,127.0506023,도봉구
152,방학약국,900.0,2200.0,37.6696209,127.0432872,도봉구
153,태양약국,900.0,2000.0,37.6486098,127.0343291,도봉구
154,신프라자약국,900.0,1800.0,37.6401154,127.0391323,도봉구
155,오약국,930.0,1500.0,37.66756640000001,127.0454944,도봉구
156,수락프라자약국,900.0,2200.0,37.67741609999999,127.054858,노원구
157,인덕약국,1230.0,1800.0,37.6308761,127.06104209999998,노원구
158,다정약국,900.0,2100.0,37.6574623,127.0786935,노원구
159,당고개약국,900.0,2100.0,37.6708273,127.0799769,노원구
160,오피앙약국,900.0,2100.0,37.6802689,127.05486940000002,노원구
161,노원종로약국,830.0,1900.0,37.62825220000001,127.0719634,노원구
162,나현약국,1000.0,2230.0,37.6563873,127.06961409999998,노원구
163,새고운약국,1000.0,1900.0,37.6196709,127.074629,노원구
164,i튼튼약국,900.0,1600.0,37.6244964,127.0729685,노원구
165,종로프라자약국,1200.0,2100.0,37.6493827,127.0615412,노원구
166,목원약국,900.0,2000.0,37.67141289999999,127.0799686,노원구
167,봄약국,900.0,1400.0,37.6530156,127.0613085,노원구
168,성심온누리약국,900.0,2130.0,37.6184726,127.0626469,노원구
169,하님약국,900.0,2130.0,37.6611031,127.0708473,노원구
170,장생약국,1100.0,2100.0,37.6387354,127.0624762,노원구
171,자인당약국,900.0,2330.0,37.6548001,127.0642032,노원구
172,화랑대약국,930.0,1800.0,37.62078169999999,127.0836072,노원구
173,신동아약국,1000.0,2230.0,37.62644,127.0619091,노원구
174,새하늘약국,1030.0,2230.0,37.6498393,127.06128390000002,노원구
175,유림약국,900.0,2200.0,37.671993,127.0567903,노원구
176,참말로친절한약국,1200.0,2100.0,37.6542772,127.0575947,노원구
177,서부약국,1000.0,2100.0,37.6668466,127.056826,노원구
178,석계태평양약국,900.0,1500.0,37.6146462,127.06347990000002,노원구
179,새하늘약국,1030.0,2230.0,37.64669749999999,127.0657247,노원구
180,상계하나로약국,900.0,2200.0,37.6648563,127.0670284,노원구
181,희망약국,1100.0,2100.0,37.671993,127.0567903,노원구
182,경하프라자약국,900.0,2100.0,37.6119564,126.91561000000002,은평구
183,메디팜경약국,900.0,2000.0,37.5936882,126.91995049999998,은평구
184,장수약국,900.0,1900.0,37.5939416,126.9183004,은평구
185,신일약국,1000.0,2200.0,37.6007199,126.9256844,은평구
186,남대문약국,1000.0,2000.0,37.6231885,126.9174678,은평구
187,구룡약국,800.0,2000.0,37.5911057,126.9469472,서대문구
188,가족건강약국,900.0,2000.0,37.5071231,126.9622493,동작구
189,성대약국,900.0,2100.0,37.4999898,126.93255220000002,동작구
190,노량진종로약국,900.0,1400.0,37.4896278,126.98060320000002,동작구
191,사러가약국,1000.0,2100.0,37.5671033,126.9296369,서대문구
192,메디팜서울약국,930.0,1900.0,37.5150053,126.8616021,양천구
193,건강약국,900.0,2000.0,37.5324062,126.8334548,양천구
194,가까운온누리약국,1300.0,2100.0,37.5173729,126.8653092,양천구
195,새비타민약국,900.0,1900.0,37.4984455,126.9336632,동작구
196,새보라매약국,1000.0,1800.0,37.4923628,126.9253318,동작구
197,한신약국,800.0,1900.0,37.5850354,126.9474505,서대문구
198,대유약국,900.0,2130.0,37.5818166,126.9358604,서대문구
199,현우약국,930.0,2200.0,37.5555413,126.9362297,서대문구
200,건강약국,830.0,1600.0,37.57666270000001,126.92304140000002,서대문구
201,새무지개약국,900.0,1300.0,37.5210264,126.8521472,양천구
202,수정약국,900.0,1330.0,37.5208002,126.8528758,양천구
203,행복이열리는건강약국,1200.0,1700.0,37.5009476,126.9499507,동작구
204,건강온누리약국,900.0,2000.0,37.5049188,126.9411015,동작구
205,사당프라자약국,900.0,1700.0,37.4832665,126.9732338,동작구
206,사당소화약국,1200.0,1800.0,37.4771402,126.9811313,동작구
207,인왕약국,800.0,2030.0,37.59101679999999,126.943453,서대문구
208,엘리트약국,1000.0,1600.0,37.5556612,126.9371368,서대문구
209,가정약국,900.0,1300.0,37.5466283,126.8720586,양천구
210,에이치약국,1000.0,1300.0,37.5241644,126.8703368,양천구
211,신국경약국,900.0,1200.0,37.5457623,126.8711007,양천구
212,목동세명약국,900.0,2200.0,37.5483491,126.8665826,양천구
213,연성약국,900.0,1300.0,37.5198132,126.8533943,양천구
214,매일여는약국,900.0,2400.0,37.5274468,126.8715522,양천구
215,보생사약국,900.0,2200.0,37.51300360000001,126.92244,영등포구
216,건강약국,830.0,1400.0,37.5290955,126.8984405,영등포구
217,명일마트종로약국,1000.0,2230.0,37.5546516,127.1557517,강동구
218,산들약국,900.0,1900.0,37.5563679,127.1419695,강동구
219,강서홈약국,1000.0,2230.0,37.5584359,126.8547981,강서구
220,바이엘약국,1100.0,2000.0,37.5397112,126.8341286,강서구
221,송약국,1000.0,2000.0,37.5544448,126.8682026,강서구
222,미주약국,900.0,2200.0,37.574644,126.8189919,강서구
223,태령약국,900.0,2000.0,37.5063336,126.9107957,영등포구
224,고은온누리약국,1000.0,1500.0,37.5340445,127.139632,강동구
225,경희프라자약국,850.0,1800.0,37.5422503,127.1308866,강동구
226,강서메디칼약국,900.0,2100.0,37.5424559,126.8441342,강서구
227,장수약국,800.0,2250.0,37.4998635,126.9110152,영등포구
228,세계로약국,930.0,1900.0,37.611782,126.9314614,은평구
229,한림약국,1300.0,2100.0,37.5365511,127.134689,강동구
230,강동정문약국,900.0,1700.0,37.5283515,127.1457028,강동구
231,시민당약국,900.0,2100.0,37.53803920000001,127.1398045,강동구
232,방화프라자약국,1000.0,1900.0,37.5728854,126.8104004,강서구
233,애플약국,900.0,1300.0,37.6350842,126.92361499999998,은평구
234,맑은약국,1000.0,2200.0,37.5302698,126.90173529999998,영등포구
235,래미안온누리약국,1000.0,1700.0,37.5318721,126.9031482,영등포구
236,건강밝은약국,1000.0,1300.0,37.6177686,126.920095,은평구
237,은평자연약국,1400.0,2100.0,37.6208234,126.9172857,은평구
238,불광온누리약국,1030.0,2100.0,37.6108916,126.9299497,은평구
239,정문온누리약국,830.0,2200.0,37.60845870000001,126.93122920000002,은평구
240,노벨온누리약국,1000.0,1800.0,37.6045135,126.9184475,은평구
241,아름다운달과별약국,1200.0,2300.0,37.6190571,126.9201953,은평구
242,국제공항약국,630.0,1930.0,37.555525,126.8067017,강서구
243,상록수약국,900.0,1800.0,37.535566,126.8413169,강서구
244,마곡하늘약국,1100.0,2000.0,37.577303,126.8129837,강서구
245,엄마약국,1100.0,2000.0,37.4950722,126.8973708,영등포구
246,정안약국,830.0,2030.0,37.50136579999999,126.91702820000002,영등포구
247,천사온누리약국,1200.0,1900.0,37.5063001,126.9614927,동작구
