,약국명,일요일 시작,일요일 종료,위도,경도,구별
154,종로태평양약국,900.0,1900.0,37.6121854,127.0770867,중랑구
155,무궁화약국,1000.0,2200.0,37.5794549,127.087121,중랑구
156,제일한사랑약국,1000.0,1800.0,37.6168565,127.0913817,중랑구
157,새봉화약국,900.0,1400.0,37.61639470000001,127.0926039,중랑구
158,성재약국,1500.0,2300.0,37.5829463,127.0853665,중랑구
159,조은약국,1200.0,2100.0,37.602085,127.1019861,중랑구
160,새우정약국,1000.0,2000.0,37.5994539,127.0997267,중랑구
161,새우림약국,1600.0,2130.0,37.5986427,127.0975679,중랑구
162,이안온누리약국,900.0,1330.0,37.579669,127.087432,중랑구
163,백세약국,900.0,2200.0,37.6066393,127.0955549,중랑구
164,3층엠코약국,900.0,1200.0,37.5977195,127.0932913,중랑구
165,튼튼약국,1500.0,2200.0,37.5838499,127.0884928,중랑구
166,새민우약국,900.0,2200.0,37.5993837,127.0182666,성북구
167,회생약국,800.0,2030.0,37.5823765,127.0193267,성북구
168,동부약국,1500.0,1900.0,37.6093646,127.0241008,성북구
169,모당약국,1600.0,2000.0,37.5963256,127.015127,성북구
170,세원약국,1500.0,2300.0,37.5937325,127.0188153,성북구
171,온누리민우약국,1300.0,2100.0,37.6106761,127.0606347,성북구
172,화성약국,1030.0,2200.0,37.6085364,127.0358646,성북구
173,제창약국,830.0,2200.0,37.6056468,127.0134049,성북구
174,태평양약국,830.0,2000.0,37.6113927,127.0091032,성북구
175,정인약국,1400.0,1800.0,37.6023816,127.0158976,성북구
176,계산온누리약국,1500.0,2200.0,37.59062340000001,127.0170138,성북구
177,365약국,930.0,2130.0,37.6085892,127.0294443,성북구
178,새국민약국,1000.0,1700.0,37.6029449,127.0420987,성북구
179,이화프라자약국,1000.0,1800.0,37.6088141,127.0100922,성북구
180,인정온누리약국,900.0,1500.0,37.5854352,127.0101732,성북구
181,한미약국,1000.0,1900.0,37.5989002,127.0342472,성북구
182,성북월드팜약국,900.0,2100.0,37.6092663,127.0524388,성북구
183,명소약국,900.0,2100.0,37.6070225,127.0610963,성북구
184,서울약국,900.0,1300.0,37.5983468,127.0214341,성북구
185,유림당약국,900.0,1900.0,37.653293,127.0407996,도봉구
186,고려약국,900.0,1400.0,37.6335818,127.0173297,강북구
187,세일약국,1000.0,1800.0,37.631354,127.02194509999998,강북구
188,송일약국,800.0,1900.0,37.6188313,127.0314249,강북구
189,한양약국,900.0,1700.0,37.6358289,127.015698,강북구
190,수유동약국,1200.0,2100.0,37.63632980000001,127.0227421,강북구
191,소원약국,900.0,2100.0,37.62683300000001,127.025582,강북구
192,삼천약국,1000.0,1900.0,37.6295659,127.0176488,강북구
193,지영약국,1800.0,2100.0,37.6412127,127.016581,강북구
194,수유태평양약국,900.0,2000.0,37.6302064,127.0224133,강북구
195,송도약국,1000.0,1830.0,37.63846820000001,127.02571100000002,강북구
196,화신약국,830.0,2030.0,37.6413568,127.0171185,강북구
197,웰빙메디칼약국,1100.0,1800.0,37.6252952,127.0261504,강북구
198,직영약국,900.0,2000.0,37.6305217,127.0234878,강북구
199,만남온누리약국,1100.0,2100.0,37.6629357,127.0122947,강북구
200,한사랑온누리약국,900.0,1600.0,37.6322927,127.013805,강북구
201,생수당약국,0.0,0.0,37.6252206,127.0322019,강북구
202,수유온누리약국,1000.0,1400.0,37.6367563,127.02485190000002,강북구
203,건강비타민약국,900.0,2100.0,37.62495790000001,127.0187199,강북구
204,번동프라자약국,1400.0,2130.0,37.6347992,127.0355831,강북구
205,미양온누리약국,1000.0,1800.0,37.62010430000001,127.0182139,강북구
206,화원약국,900.0,1800.0,37.6450138,127.0154612,강북구
207,길약국,830.0,1900.0,37.63036779999999,127.023074,강북구
208,필약국,900.0,1300.0,37.62892069999999,127.0393082,강북구
209,조은약국,900.0,1600.0,37.6367746,127.02389309999998,강북구
210,우리대한약국,1000.0,2100.0,37.6350823,127.0228933,강북구
211,수유파랑새약국,830.0,1800.0,37.6452328,127.01535859999998,강북구
212,삼성약국,1000.0,2100.0,37.6451106,127.0199495,강북구
213,바른약국,800.0,2200.0,37.6441578,127.0228334,강북구
214,백운약국,1300.0,1900.0,37.64743370000001,127.03440220000002,도봉구
215,메디팜큰사랑약국,1030.0,2100.0,37.6488436,127.0352587,도봉구
